sample_id,rater_id,fluency,imagery,relevance,structure,reason
S011,rater_01,2,3,2,3,意象尚多但句意跳跃承接偏弱
S055,rater_01,2,2,3,2,前句承接尚可但重复病句明显
S067,rater_01,2,2,5,3,藏头完整但多处语义牵强重复
S058,rater_01,3,3,4,4,格律结构完整但花花等词生硬
S045,rater_01,3,2,2,4,句式齐整但与明月主题渐远
S054,rater_01,3,3,5,4,藏头准确且意象连贯略有生硬
S066,rater_01,2,2,3,2,承接翠柳尚可但后文语意散乱
S053,rater_01,3,3,4,4,离春送别意尚连贯末句有重复
S069,rater_01,2,2,3,2,仅两联且藏头次序结构不完整
S071,rater_01,2,3,3,4,景物丰富但搭配怪异语义不稳
S078,rater_01,3,2,5,4,藏头完整句式整齐但意境平淡
S062,rater_01,2,2,3,2,仅完成人工二字且语句较牵强
S017,rater_01,2,1,3,2,藏头只到人工且重复病句突出
S032,rater_01,2,3,5,4,藏头完整但重字标点错误较多
S003,rater_01,3,3,5,4,藏头完整意象尚雅少数用词不通
S044,rater_01,2,3,2,3,画面尚存但重字病句且结尾残缺
S002,rater_01,2,2,3,2,数字堆叠突兀且语义难以连贯
S034,rater_01,3,4,3,4,愁旅意境较统一但首句转折生硬
S019,rater_01,2,2,2,2,情绪转愁突兀且词语组合欠通
S009,rater_01,2,2,2,2,承接突转离愁且女心等词生硬
S059,rater_01,3,3,3,4,长篇结构完整但重复与搭配失当
S023,rater_01,2,2,3,2,三三等用词突兀且语义较空泛
S072,rater_01,2,3,3,4,结构整齐但多句含义含混不自然
S068,rater_01,4,4,4,4,景物铺陈自然整体连贯仅末句稍弱
S012,rater_01,2,2,2,3,与边塞首句衔接弱且后半难解
S004,rater_01,3,2,3,3,句式尚顺但仙家诸侯衔接牵强
S039,rater_01,3,3,4,4,残春夜愁意境统一少量搭配生硬
S076,rater_01,3,3,3,2,只呈千古两字且重字影响流畅
S036,rater_01,3,2,3,3,饮酒语意可解但与得意主题联系弱
S077,rater_01,2,2,2,3,重复词多且语义杂乱边塞感不足
S001,rater_01,1,1,2,2,藏头残缺且断句乱码语义难通
S027,rater_01,2,2,3,4,结构整齐但重复与搭配错误密集
S038,rater_01,2,2,5,3,藏头完整但重字空缺严重影响阅读
S048,rater_01,2,3,2,4,意象堆叠繁杂且大量搭配难解
S047,rater_01,2,2,3,2,露明重复明显且篇幅结构单薄
S015,rater_01,3,3,5,4,藏头完整句式稳定但含义略牵强
S081,rater_01,1,1,2,2,不不等病句明显且整体难以理解
S052,rater_01,2,2,2,2,语句勉强可读但承接与意境较弱
S018,rater_01,2,1,5,4,藏头完整但难字重复语义紊乱
S022,rater_01,2,2,5,4,藏头结构完整但重字病句较密集
S040,rater_01,4,4,5,4,藏头自然景物连贯仅有少量重字
S042,rater_01,3,3,5,4,藏头完整春景清楚但个别搭配生硬
S008,rater_01,4,4,5,4,藏头准确山水行旅意象较为统一
S049,rater_01,2,3,3,4,篇章齐整但意象关系混乱重字明显
S020,rater_01,3,3,5,4,藏头完整送别氛围尚连贯用词稍硬
S030,rater_01,3,3,5,4,藏头完整景物连贯但末联语意偏弱
S061,rater_01,2,2,3,2,官业幕酒衔接牵强且句意难通
S005,rater_01,2,2,3,4,结构完整但重字病句和逻辑跳跃多
S014,rater_01,2,2,5,4,藏头完整但多处词序和语意不通
S079,rater_01,2,3,3,2,只完成深度且重字导致语义混乱
S026,rater_01,3,4,5,4,藏头完整山水意象较美但重字稍多
S056,rater_01,2,2,3,2,数字拼接不自然且语义缺乏联系
S041,rater_01,1,1,2,1,断句破碎且语义难通结构不完整
S016,rater_01,3,4,4,4,边塞景物较统一少数字词搭配欠妥
S064,rater_01,2,3,3,4,残春意象尚存但语序与逻辑多跳跃
S051,rater_01,2,3,5,4,藏头准确但春花水等重复过度
S031,rater_01,4,4,4,4,边塞秋景连贯格律整齐结尾稍突
S013,rater_01,2,2,5,4,藏头完整但重复和病句影响较大
S024,rater_01,3,2,5,4,藏头完整句式整齐但语义关联偏弱
S035,rater_01,1,1,2,2,标点断裂且病句明显难以成篇
S050,rater_01,3,3,4,4,边塞意象尚连贯末句突兀失稳
S073,rater_01,2,3,5,4,藏头完整但花树重复过密语意浅
S006,rater_01,2,2,2,2,首句扩写突兀且后文语义牵强
S021,rater_01,3,4,4,4,篇章与边塞归思较合但首联标点病
S080,rater_01,2,2,3,2,只完成千古二字且语义较难连贯
S033,rater_01,2,2,5,4,藏头完整但多处词义拼接不自然
S010,rater_01,2,2,5,4,藏头完整但重复字和玄怪词堆叠
S057,rater_01,3,3,5,4,藏头完整行旅意尚通但词序稍硬
S043,rater_01,3,3,5,4,藏头完整离愁意较统一重字略多
S074,rater_01,2,2,2,2,与大漠意境联系薄弱且句意难解
S063,rater_01,2,2,3,2,莺花酒意可见但多处搭配荒诞
S037,rater_01,2,2,3,2,只完成春暖花三字且语意零散
S029,rater_01,2,3,3,4,结构完整但语义跳跃与怪词较多
S028,rater_01,2,3,5,4,藏头完整但词序病句和重字明显
S065,rater_01,2,2,5,4,藏头准确但句意多处难解不连贯
S007,rater_01,2,2,2,2,边塞首句后意象杂糅语义不通
S060,rater_01,2,2,3,2,篇幅短且五凋九陌等搭配生硬
S046,rater_01,3,3,5,4,藏头完整春寒景象尚通重字略多
S070,rater_01,3,3,3,3,客愁意可解但重复与转折较突兀
S025,rater_01,2,3,3,4,月夜意象尚多但重字病句较明显
S075,rater_01,2,2,5,4,藏头完整但断句重字和语义混乱
